Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,shot_direction,shot_curvature,shot_type
2022-11-27 11:11:05,Rok,7I XXIO eleven,7 Iron,108.46799713,1.61,0.65,4.2,3.55,134.49599863,1.23996019,1.07000005,3.52999997,1491.0892334,-265.60342407,1514.56005859,Estimated,10.10000038,0.05,7.96000004,3.66000009,0.50999999,43.25,3.76999998,2.8499999,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:11:46,Rok,7I XXIO eleven,7 Iron,119.55599683,-2.1,2.5,2.43,-0.07,152.35199487,1.27431496,18.73999977,2.30999994,4756.35839844,19.92350197,4756.39990234,Estimated,-0.23999999,17.45000076,113.26000214,2.3900001,4.71999979,121.41999817,2.3599999,5.01000023,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:12:11,Rok,7I XXIO eleven,7 Iron,120.9239968,4.07,-0.21,-8.65,-8.44,159.80399357,1.32152425,18.68000031,-7.13000011,5069.0390625,711.50476074,5118.72998047,Estimated,-7.98999977,19.55999947,120.01000214,-11.17000008,-23.23999977,127.72000122,-11.30000019,-25.03000069,,,1.2276154,5.0,98.3,86,PULL,DRAW,PULL_DRAW
2022-11-27 11:12:24,Rok,7I XXIO eleven,7 Iron,121.24799679,2.06,1.36,0.38,-0.98,150.98399106,1.24524937,17.32999992,0.47999999,3889.47192383,90.30205536,3890.52001953,Estimated,-1.33000004,14.80000019,112.16000366,0.04,0.09,122.36000061,0.0,0.01,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:12:52,Rok,7I XXIO eleven,7 Iron,117.0359969,0.55,-10.91,,51.14,85.75199663,0.73269762,19.42000008,31.68000031,5219.45751953,-3013.45483398,6026.91015625,Estimated,30.0,3.98000002,38.08000183,37.70999908,23.29000092,48.38000107,38.81000137,30.32999992,,,1.2276154,5.0,98.3,86,PUSH,SLICE,PUSH_SLICE
2022-11-27 11:13:07,Rok,7I XXIO eleven,7 Iron,112.57199702,-2.89,-9.97,2.96,12.93,129.45599327,1.14998398,26.53000069,1.19000006,7221.70019531,-1067.69567871,7300.20019531,Estimated,8.40999985,18.85000038,86.52999878,4.69999981,7.09000015,90.45999908,4.80999994,7.59000015,,,1.2276154,5.0,98.3,86,STRAIGHT,SLICE,STRAIGHT_SLICE
2022-11-27 11:13:20,Rok,7I XXIO eleven,7 Iron,125.35199668,-1.11,-8.19,-3.24,4.95,153.39599813,1.22372202,21.31999969,-3.69000006,6413.29492188,-479.96676636,6431.22998047,Estimated,4.28000021,21.56999969,111.05000305,-2.13000011,-4.13000011,116.37000275,-2.02999997,-4.13000011,,,1.2276154,5.0,98.3,86,STRAIGHT,FADE,STRAIGHT_FADE
2022-11-27 11:13:41,Rok,7I XXIO eleven,7 Iron,124.4159967,-3.63,-10.93,-3.7,7.23,139.3920007,1.12037041,1.89999998,-4.40999985,2678.65454102,-690.25384521,2766.15991211,Estimated,14.44999981,0.23999999,24.69000053,-3.56999993,-1.53999996,71.80000305,-3.00999999,-3.75999999,,,1.2276154,5.0,98.3,86,STRAIGHT,FADE,STRAIGHT_FADE
2022-11-29 17:04:36,Rok,SW XXIO eleven,Sand Wedge,0.0,0.0,0.0,0.0,0.0,32.72399968,inf,27.48999977,16.20000076,3581.42993164,0.0,3581.42993164,Estimated,-0.0,0.94,6.82000017,16.30999947,1.90999997,10.77000046,16.27000046,3.01999998,,,1.2139546,8.89,98.6,74,PUSH,NEUTRAL,PUSH
2022-11-29 17:05:11,Rok,SW XXIO eleven,Sand Wedge,28.72799924,0.0,0.0,0.0,0.0,38.7359998,1.34837096,20.0,6.65999985,3181.40991211,0.0,3181.40991211,Estimated,-0.0,0.75,7.76999998,6.69000006,0.91000003,12.72999954,6.67999983,1.48000002,,,1.2139546,8.89,98.6,74,PUSH,NEUTRAL,PUSH
